depmap_id	cell_line_name	lineage	culture_type	msi	used_in_sgRNA_analyses	used_in_shRNA_analyses
ACH-000228	BICR 31	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-001332	BICR 78	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-000402	BL-70	lymphocyte	Adherent	inferred-MSS	yes	no
ACH-001453	BPH-1	prostate	Adherent	inferred-MSS	yes	no
ACH-001333	C-33 A	cervix	Adherent	inferred-MSI	yes	no
ACH-001334	C-4 I	cervix	Adherent	inferred-MSS	yes	no
ACH-001715	CAL-72	bone	Adherent	inferred-MSS	yes	no
ACH-000516	CAL-78	bone	Adherent	inferred-MSS	yes	no
ACH-000354	Capan-1	pancreas	Adherent	inferred-MSS	yes	no
ACH-001336	Ca Ski	cervix	Adherent	inferred-MSS	yes	no
ACH-000329	CCF-STTG1	central_nervous_system	Adherent	inferred-MSS	yes	no
ACH-001338	CHP-134	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000120	CHP-212	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000968	COLO 792	skin	Adherent	inferred-MSS	yes	no
ACH-000695	COR-L47	lung	Suspension	inferred-MSS	yes	no
ACH-000233	DEL	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-001341	DoTc2 4510	cervix	Adherent	inferred-MSS	yes	no
ACH-001494	EGI-1	bile_duct	Adherent	inferred-MSS	yes	no
ACH-001497	ESO51	esophagus	Suspension	inferred-MSS	yes	no
ACH-001498	Farage	lymphocyte	Suspension	inferred-MSI	yes	no
ACH-001500	FLO-1	esophagus	Adherent	inferred-MSS	yes	no
ACH-000082	G-292, clone A141B1	bone	Adherent	inferred-MSS	yes	no
ACH-000835	GCT	soft_tissue	Adherent	inferred-MSS	yes	no
ACH-001344	GI-ME-N	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-001345	GP5d	colorectal	Adherent	inferred-MSI	yes	no
ACH-000389	H4	central_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000843	HARA	lung	Adherent	inferred-MSS	yes	no
ACH-000150	HCC2935	lung	Adherent	inferred-MSS	yes	no
ACH-001517	HEC-1	uterus	Adherent	inferred-MSI	yes	no
ACH-000941	HEC-1-B	uterus	Adherent	inferred-MSI	yes	no
ACH-002045	HO-1-u-1	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-000616	Hs 746T	gastric	Adherent	inferred-MSS	yes	no
ACH-000801	Hs 936.T	skin	Adherent	inferred-MSS	yes	no
ACH-001525	HT-3	cervix	Adherent	inferred-MSS	yes	no
ACH-000829	HuNS1	plasma_cell	Suspension	inferred-MSS	yes	no
ACH-001526	HuO9	bone	Adherent	inferred-MSS	yes	no
ACH-001528	IHH-4	thyroid	Adherent	inferred-MSS	yes	no
ACH-000310	IMR-32	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000331	IST-MES2	lung	Adherent	inferred-MSS	yes	no
ACH-001529	JAR	uterus	Adherent	inferred-MSS	yes	no
ACH-001530	JEG-3	uterus	Adherent	inferred-MSS	yes	no
ACH-000577	JHH-2	liver	Adherent	inferred-MSS	yes	no
ACH-000928	JHUEM-1	uterus	Adherent	inferred-MSI	yes	no
ACH-000151	JM1	blood	Suspension	inferred-MSS	yes	no
ACH-000995	JURKAT	blood	Suspension	inferred-MSI	yes	no
ACH-000053	KARPAS-299	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-000101	KE-37	blood	Suspension	inferred-MSS	yes	no
ACH-000167	KE-97	plasma_cell	Adherent	inferred-MSS	yes	no
ACH-000293	KLE	uterus	Adherent	inferred-MSS	yes	no
ACH-000313	KMRC-3	kidney	Adherent	inferred-MSS	yes	no
ACH-000714	KMS-11	plasma_cell	Adherent	inferred-MSS	yes	no
ACH-000588	KMS-26	plasma_cell	Suspension	inferred-MSS	yes	no
ACH-000498	KO52	blood	Suspension	inferred-MSS	yes	no
ACH-001542	KON	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-000604	KYO-1	blood	Suspension	inferred-MSS	yes	no
ACH-000873	KYSE-270	esophagus	Adherent	inferred-MSS	yes	no
ACH-000252	LS1034	colorectal	Adherent	inferred-MSS	yes	no
ACH-001549	Lu-135	lung	Suspension	inferred-MSS	yes	no
ACH-000602	M-07e	blood	Suspension	inferred-MSS	yes	no
ACH-000583	MC116	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-000796	MCAS	ovary	Adherent	inferred-MSS	yes	no
ACH-000405	MEC-1	blood	Adherent	inferred-MSS	yes	no
ACH-000078	MHH-NB-11	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000077	MJ	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-001360	MS751	cervix	Adherent	inferred-MSS	yes	no
ACH-000335	MSTO-211H	lung	Adherent	inferred-MSS	yes	no
ACH-000944	NAMALWA	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-000514	NCI-H1092	lung	Suspension	inferred-MSS	yes	no
ACH-000894	NCI-H1869	lung	Adherent	inferred-MSS	yes	no
ACH-000355	NCI-H82	lung	Adherent	inferred-MSS	yes	no
ACH-001603	NH-12	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000200	NMC-G1	central_nervous_system	Adherent	inferred-MSS	yes	no
ACH-001605	no.10	central_nervous_system	Adherent	inferred-MSS	yes	no
ACH-002067	NOS-1	bone	Adherent	inferred-MSS	yes	no
ACH-001368	OAC-M5.1	esophagus	Suspension	inferred-MSS	yes	no
ACH-000116	OAW28	ovary	Adherent	inferred-MSS	yes	no
ACH-001145	OC 316	ovary	Adherent	inferred-MSI	yes	no
ACH-000124	OCI-LY-19	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-001625	OSC-19	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-001626	OSC-20	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-001151	OVCAR-5	ovary	Adherent	inferred-MSS	yes	no
ACH-000947	OVK18	ovary	Adherent	inferred-MSI	yes	no
ACH-002059	P30/OHK	blood	Suspension	inferred-MSI	yes	no
ACH-001374	PA-1 [PA1]	ovary	Adherent	inferred-MSS	yes	no
ACH-000022	PA-TU-8988S	pancreas	Adherent	inferred-MSS	yes	no
ACH-000619	PE/CA-PJ15	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-001630	PEO1	ovary	Adherent	inferred-MSS	yes	no
ACH-001711	PFSK-1	central_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000468	PK-45H	pancreas	Adherent	inferred-MSS	yes	no
ACH-000189	RCC10RGB	kidney	Adherent	inferred-MSS	yes	no
ACH-000565	RCM-1	colorectal	Adherent	inferred-MSS	yes	no
ACH-000791	RERF-LC-Ad1	lung	Adherent	inferred-MSS	yes	no
ACH-000442	RERF-LC-Sq1	lung	Adherent	inferred-MSS	yes	no
ACH-001385	RPMI 2650	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-002029	SAS	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-001641	SAT	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-000839	SCaBER	urinary_tract	Adherent	inferred-MSS	yes	no
ACH-000181	SCC-9	upper_aerodigestive	Adherent	inferred-MSS	yes	no
ACH-000195	Set-2	blood	Suspension	inferred-MSS	yes	no
ACH-000764	SH-10-TC	gastric	Adherent	inferred-MSS	yes	no
ACH-001650	SISO	cervix	Adherent	inferred-MSS	yes	no
ACH-001653	SK-GT-2	gastric	Adherent	inferred-MSS	yes	no
ACH-001654	SK-GT-4	esophagus	Adherent	inferred-MSS	yes	no
ACH-000822	SK-MEL-24	skin	Adherent	inferred-MSS	yes	no
ACH-001655	SKN	uterus	Adherent	inferred-MSS	yes	no
ACH-000939	SK-UT-1	soft_tissue	Adherent	inferred-MSI	yes	no
ACH-002062	SLVL	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-000504	SNB75	central_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000483	SNU-182	liver	Adherent	inferred-MSS	yes	no
ACH-000478	SNU-387	liver	Adherent	inferred-MSS	yes	no
ACH-000422	SNU-475	liver	Adherent	inferred-MSS	yes	no
ACH-000182	SNU-869	bile_duct	Adherent	inferred-MSS	yes	no
ACH-000664	SU-DHL-1	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-000226	SUP-M2	lymphocyte	Suspension	inferred-MSS	yes	no
ACH-000489	SW1116	colorectal	Adherent	inferred-MSS	yes	no
ACH-001398	SW 156	kidney	Adherent	inferred-MSS	yes	no
ACH-001399	SW 626	colorectal	Adherent	inferred-MSS	yes	no
ACH-001402	SW756	cervix	Adherent	inferred-MSS	yes	no
ACH-001400	SW 954	cervix	Adherent	inferred-MSS	yes	no
ACH-000085	T3M-4	pancreas	Adherent	inferred-MSS	yes	no
ACH-000381	T84	colorectal	Adherent	inferred-MSS	yes	no
ACH-001670	TASK1	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000387	TF-1	blood	Suspension	inferred-MSS	yes	no
ACH-001861	TGBC1TKB	bile_duct	Adherent	inferred-MSS	yes	no
ACH-001674	TGW	peripheral_nervous_system	Adherent	inferred-MSS	yes	no
ACH-000716	TT2609-C02	thyroid	Adherent	inferred-MSS	yes	no
ACH-000834	UM-UC-1	urinary_tract	Adherent	inferred-MSS	yes	no
ACH-001418	UWB1.289	ovary	Adherent	inferred-MSS	yes	no
ACH-001702	VA-ES-BJ	soft_tissue	Adherent	inferred-MSS	yes	no
ACH-000545	VM-CUB1	urinary_tract	Adherent	inferred-MSS	yes	no
ACH-001709	WSU-NHL	lymphocyte	Suspension	inferred-MSI	yes	no
ACH-000332	YAPC	pancreas	Adherent	inferred-MSS	yes	no
ACH-000469	YH-13	central_nervous_system	Adherent	inferred-MSS	yes	no
