GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
ATM	MAP3K4	SL	-0.606315950899213	0.545767473116939	Double KO screens	LOF
ATM	PIM1	SL	-0.526535566848267	0.751393453477812	Double KO screens	LOF
ATM	SETD2	SL	-0.759667669440831	0.037662114393417	Double KO screens	LOF
ATM	SMO	SL	-1.10707600534388	-0.727522270926033	Double KO screens	LOF
ATM	VHL	SL	-0.741983120716362	-0.02915185486218	Double KO screens	LOF
ATP6V1G1	FDPS	SL	-2.22616826039566	-1.57121248519499	Double KO screens	LOF
ATP6V1G1	MBTPS2	SL	-0.818520298378303	-0.328653517438326	Double KO screens	LOF
ATP6V1G1	VPS72	SL	-1.67824940625571	-0.715342386874946	Double KO screens	LOF
ATP6V1G1	WDR7	SL	-1.12739953314385	-0.353716430529527	Double KO screens	LOF
AXL	FN3K	SL	-0.854931135005617	-0.040062875066582	Double KO screens	LOF
AXL	PIK3CD	SL	-0.785289196337252	0.020327446863223	Double KO screens	LOF
BCAT2	LTC4S	SL	-0.72090140795573	-0.796347572064771	Double KO screens	LOF
BCAT2	MMP25	SL	-1.15929955185707	-0.695834926642876	Double KO screens	LOF
BCAT2	POMC	SL	-0.581333270661177	0.632417214344145	Double KO screens	LOF
BCAT2	PTK6	SL	-1.20330412185774	-0.893341921802228	Double KO screens	LOF
BCAT2	SLC5A5	SL	-0.430492810184953	0.24825338609287	Double KO screens	LOF
BCKDK	MAP3K4	SL	-1.53090112450841	0.187160613276761	Double KO screens	LOF
BCL2A1	BCL2L10	SL	-0.14761831607526	1.33750762713226	Double KO screens	LOF
BCL2A1	BRCA1	SL	-0.666131759952018	-0.512423121246151	Double KO screens	LOF
BCL2A1	BRCA2	SL	-0.658964901971729	-0.412504362648728	Double KO screens	LOF
BCL2A1	EEF2	SL	-0.154622362217759	3.62678014578484	Double KO screens	LOF
BCL2A1	MAPK3	SL	-0.477443149730198	0.26631883119842	Double KO screens	LOF
BCL2A1	MTOR	SL	-0.964528289711503	-0.861351398537161	Double KO screens	LOF
BCL2A1	WEE1	SL	-0.798191899262981	0.513315390514419	Double KO screens	LOF
BCL2L1	BCL2L2	SL	-0.983415594291208	-0.253034191625611	Double KO screens	LOF
BCL2L1	CDK2	SL	-1.23687235703116	-0.185476277230825	Double KO screens	LOF
BCL2L1	DOT1L	SL	-0.526648241159421	0.492123939968596	Double KO screens	LOF
BCL2L1	HSP90AA1	SL	-0.893174304159888	0.290189355877536	Double KO screens	LOF
BCL2L1	IMPDH1	SL	-1.30202892397929	-0.177020892466026	Double KO screens	LOF
BCL2L1	MAPK1	SL	-0.480286374186689	0.294237345189061	Double KO screens	LOF
BCL2L1	MAPK3	SL	-0.812980893418716	-0.639591585891704	Double KO screens	LOF
BCL2L1	MCL1	SL	-1.65851007216708	-1.38428914801607	Double KO screens	LOF
BCL2L1	PARP1	SL	-0.54715306058023	0.642276352831563	Double KO screens	LOF
BCL2L1	SLC16A5	SL	-0.754047235470175	-0.447340293668123	Double KO screens	LOF
BCL2L1	TOP1	SL	-0.959904210403112	0.267387408029164	Double KO screens	LOF
BCL2L1	TYK2	SL	-0.508601881327525	0.142154009085909	Double KO screens	LOF
BCL2L1	WEE1	SL	-0.831176357081944	-0.15524979181843	Double KO screens	LOF
BCL2L2	BIRC5	SL	-1.98350904216742	-1.00527823406413	Double KO screens	LOF
BCL2L2	BRCA1	SL	-2.20164683102467	-0.696951847821769	Double KO screens	LOF
BCL2L2	BRCA2	SL	-1.89192432908138	-0.400445891927763	Double KO screens	LOF
BCL2L2	CDC25A	SL	-1.16440413762897	0.236059287224598	Double KO screens	LOF
BCL2L2	EEF2	SL	-1.99613911784637	-1.51138790665515	Double KO screens	LOF
BCL2L2	GRB2	SL	-0.571735668421025	-0.151054183349119	Double KO screens	LOF
BCL2L2	IMPDH1	SL	-1.09879833579808	0.740458991345877	Double KO screens	LOF
BCL2L2	INPP1	SL	-0.914586381420458	0.402402779905845	Double KO screens	LOF
BCL2L2	MAPK1	SL	-0.582065188669798	1.06434141367318	Double KO screens	LOF
BCL2L2	MCL1	SL	-1.94880951673594	-1.39680776426478	Double KO screens	LOF
BCL2L2	MTOR	SL	-1.11348752239702	-0.394721790390437	Double KO screens	LOF
